🍇,葡萄,GRAPES,2010
🍈,瓜果,MELON,2010
🍉,西瓜,WATERMELON,2010
🍊,柑橘,TANGERINE,2010
🍋,柠檬,LEMON,2010
🍌,香蕉,BANANA,2010
🍍,菠萝,PINEAPPLE,2010
🍎,红苹果,RED APPLE,2010
🍏,青苹果,GREEN APPLE,2010
🍐,雪梨,PEAR,2010
🍑,桃子,PEACH,2010
🍒,樱桃,CHERRIES,2010
🍓,草莓,STRAWBERRY,2010
🍅,番茄,TOMATO,2010
🥝,猕猴桃,KIWIFRUIT,2016
🥑,牛油果,AVOCADO,2016
🍆,茄子,AUBERGINE,2010
🥔,土豆,POTATO,2016
🥕,胡萝卜,CARROT,2016
🌽,玉米,EAR OF MAIZE,2010
🌶,辣椒,HOT PEPPER,2014
🥒,黄瓜,CUCUMBER,2016
🍄,蘑菇,MUSHROOM,2010
🥜,花生,PEANUTS,2016
🌰,栗子,CHESTNUT,2010
🍞,面包,BREAD,2010
🥐,牛角包,CROISSANT,2016
🥖,法式长棍面包,BAGUETTE BREAD,2016
🥞,松饼,PANCAKES,2016
🧀,奶酪,CHEESE WEDGE,2015
🍖,瘦肉,MEAT ON BONE,2010
🍗,大腿肉〔*鸡脾(髀) / 鸡腿〕,POULTRY LEG,2010
🥓,培根/ 熏肉/ 烟肉,BACON,2016
🍔,汉堡包,HAMBURGER,2010
🍟,炸薯条,FRENCH FRIES,2010
🍕,薄饼/ 披萨,SLICE OF PIZZA,2010
🌭,热狗,HOT DOG,2015
🌮,墨西哥夹饼、玉米饼,TACO,2015
🌯,墨西哥卷饼、卷饼,BURRITO,2015
🥙,酿大饼/ 带馅扁面包,STUFFED FLATBREAD,2016
🥚,蛋,EGG,2016
🍳,烹饪/ 煎蛋,COOKING,2010
🥘,浅平底锅中的食物,SHALLOW PAN OF FOOD,2016
🍲,火锅/ 锅饭/ 锅汤,POT OF FOOD,2010
🥗,沙拉/ 沙律,GREEN SALAD,2016
🍿,爆米花/ 玉米花/ 爆谷,POPCORN,2015
🍱,便当/ 饭盒,BENTO BOX,2010
🍘,米饼/ 雪饼,RICE CRACKER,2010
🍙,饭团（团）,RICE BALL,2010
🍚,米饭,COOKED RICE,2010
🍛,盖浇饭/ 碟头饭/ 烩饭〔*咖喱饭/ 烧味饭〕,CURRY AND RICE,2010
🍜,拉面（面）,STEAMING BOWL,2010
🍝,意大利面/ 义大利面/ 义粉,SPAGHETTI,2010
🍠,烤地瓜/ 烤蕃薯,ROASTED SWEET POTATO,2010
🍢,肉串/ 关东煮,ODEN,2010
🍣,寿司,SUSHI,2010
🍤,炸虾/ 天妇罗,FRIED SHRIMP,2010
🍥,蒲鉾/ 鱼板/ 鱼糕/ 鸣门卷,FISH CAKE WITH SWIRL DESIGN,2010
🍡,团（团）子/ 烤串,DANGO,2010
🍦,冰淇淋[*雪糕],SOFT ICE CREAM,2010
🍧,刨冰,SHAVED ICE,2010
🍨,冰淇淋[*雪糕],ICE CREAM,2010
🍩,甜甜圈/ 冬甩,DOUGHNUT,2010
🥯,贝果/ 培果/ 焙果/ 百吉圈,bagel,2018
🍪,曲奇饼,COOKIE,2010
🎂,生日蛋糕[*蛋糕],BIRTHDAY CAKE,2010
🍰,水果蛋糕[*蛋糕],SHORTCAKE,2010
🧁,纸杯蛋糕/ 杯子蛋糕[*蛋糕],cupcake,2018
🍫,巧克力/ 朱古力,CHOCOLATE BAR,2010
🍬,糖果,CANDY,2010
🍭,棒棒糖,LOLLIPOP,2010
🍮,布丁/ 布甸/ 奶冻,CUSTARD,2010
🍯,蜂蜜/ 蜜罐,HONEY POT,2010
🍼,婴儿奶瓶/ 奶樽,BABY BOTTLE,2010
🥛,一杯鲜奶,GLASS OF MILK,2016
☕,一杯热饮〔*咖啡/ 奶茶〕,HOT BEVERAGE,2003
🍵,一杯茶,TEACUP WITHOUT HANDLE,2010
🍶,酒壶/ 清酒,SAKE BOTTLE AND CUP,2010
🍾,软木瓶塞的瓶子〔*香槟/ 红酒/ 葡萄酒〕,BOTTLE WITH POPPING CORK,2015
🍷,红酒杯,WINE GLASS,2010
🍸,鸡尾酒杯,COCKTAIL GLASS,2010
🍹,饮料〔*什果汁/ 珍奶〕,TROPICAL DRINK,2010
🍺,啤酒杯,BEER MUG,2010
🍻,干杯/ 碰杯,CLINKING BEER MUGS,2010
🥂,干（干）杯,CLINKING GLASSES,2016
🥃,杯子〔*水/ 威士忌〕,TUMBLER GLASS,2016
🍽,盘· 叉· 刀[*餐具],FORK AND KNIFE WITH PLATE,2014
🍴,刀叉[*餐具],FORK AND KNIFE,2010
🥄,勺子/ 匙羹[*餐具],SPOON,2016
🔪,刀子,HOCHO,2010
🥢,筷子,Chopsticks,2017
🥥,椰子,Coconut,2017
🥦,西兰花/ 青花菜,Broccoli,2017
🥨,椒盐卷饼/ 蝴蝶脆饼,Pretzel,2017
🥩,一块肉〔*小鲜肉〕,Cut of Meat,2017
🥪,三明治/ 三文治,Sandwich,2017
🥣,"汤碗加匙羮""碗勺""",Bowl With Spoon,2017
🥫,"罐装食品""罐头""",Canned Food,2017
🥟,饺子,Dumpling,2017
🥠,幸运饼干/ 占卜饼,Fortune Cookie,2017
🥡,"外卖盒""餐盒""",Takeout Box,2017
🥧,"西式馅饼〔""派"" / ""批""〕",Pie,2017
🥤,饮筒杯/ 饮管杯,Cup With Straw,2017
🧃,纸装饮品,Beverage Box,2019
🥭,芒果,mango,2018
🥬,绿叶蔬菜,leafy green,2018
🧂,盐,salt,2018
🥮,月饼,moon cake,2018
🦞,龙虾,lobster,2018
🧄,蒜头/ 大蒜,Garlic,2019
🧅,洋葱/ 葱头/ 洋蒜/ 皮牙孜,Onion,2019
🧇,华夫饼/ 格仔饼/ 格子松饼/ 比利时松饼/ 压花蛋饼,Waffle,2019
🧆,鹰嘴豆球/ 中东蔬菜球/ 法拉费,Falafel,2019
🧈,牛油/ 黄油/ 奶油,Butter,2019
🦪,蚝/ 牡蛎/ 蚵仔,Oyster,2019
🧉,玛黛茶/ 喜马红/ 巴拉圭茶/ 阿根廷茶/ 巴西茶,Mate,2019
🧊,冰块,Ice Cube,2019
😀,笑呵呵,GRINNING FACE,2012
😁,笑嘻嘻/ 笑眯眯,GRINNING FACE WITH SMILING EYES,2010
😂,喜极而泣/ 乐极生悲,FACE WITH TEARS OF JOY,2010
🤣,笑到滚地/ 仰天大笑,ROLLING ON THE FLOOR LAUGHING,2016
😃,笑盈盈,SMILING FACE WITH OPEN MOUTH,2010
😄,哈哈大笑,SMILING FACE WITH OPEN MOUTH AND SMILING EYES,2010
😅,苦笑/ 冷笑,SMILING FACE WITH OPEN MOUTH AND COLD SWEAT,2010
😆,笑死朕啦!,SMILING FACE WITH OPEN MOUTH AND TIGHTLY-CLOSED EYES,2010
😉,眨眼/ 打眼色,WINKING FACE,2010
😊,满脸堆笑,SMILING FACE WITH SMILING EYES,2010
😋,好吃（食）/ 舔舔脷,FACE SAVOURING DELICIOUS FOOD,2010
😎,Cool / 酷/ 型,SMILING FACE WITH SUNGLASSES,2010
😍,心花怒放/ 色眯眯,SMILING FACE WITH HEART-SHAPED EYES,2010
😘,飞吻/ 献吻,FACE THROWING A KISS,2010
😗,接吻,KISSING FACE,2012
😙,亲吻,KISSING FACE WITH SMILING EYES,2012
😚,热吻/ 钖钖,KISSING FACE WITH CLOSED EYES,2010
☺,假笑,WHITE SMILING FACE,1995
🙂,微笑/ 空心笑,SLIGHTLY SMILING FACE,2014
🤗,拥抱/ 揽揽,HUGGING FACE,2015
🤔,思考/ 想,THINKING FACE,2015
😐,中立态度/ 不动声色,NEUTRAL FACE,2010
😑,面无表情/ 一本正经/ 扁嘴,EXPRESSIONLESS FACE,2012
😶,安静/ 沉默,FACE WITHOUT MOUTH,2010
🙄,翻白眼,FACE WITH ROLLING EYES,2015
😏,傻笑,SMIRKING FACE,2010
😣,坚持/ 决心,PERSEVERING FACE,2010
😥,紧张/ 呼... / 松一口气,DISAPPOINTED BUT RELIEVED FACE,2010
😮,张嘴/ O嘴/ 无言,FACE WITH OPEN MOUTH,2012
🤐,拉链嘴/ 闭嘴,ZIPPER-MOUTH FACE,2015
😯,缄默,HUSHED FACE,2012
😪,困/ 眼瞓,SLEEPY FACE,2010
😫,累/ 攰/ 疲劳,TIRED FACE,2010
😴,睡觉/ 瞓觉/ 疲倦至极,SLEEPING FACE,2012
😌,如释重负/ 放下担子,RELIEVED FACE,2010
🤓,书呆子/ 极客,NERD FACE,2015
😛,吐舌头/ 调皮,FACE WITH STUCK-OUT TONGUE,2012
😜,吐舌眨眼/ 俏皮/ 颇皮,FACE WITH STUCK-OUT TONGUE AND WINKING EYE,2010
😝,闭眼吐舌/ 卖萌,FACE WITH STUCK-OUT TONGUE AND TIGHTLY-CLOSED EYES,2010
🤤,流口水/ 哈喇子,DROOLING FACE,2016
😒,不满意/ 不爽/ 斜眼/ 瞄,UNAMUSED FACE,2010
😓,汗/ 无奈,FACE WITH COLD SWEAT,2010
😔,忧郁/ 沉思/ 沮丧/ 垂头丧气,PENSIVE FACE,2010
😕,迷茫,CONFUSED FACE,2012
🙃,倒头/ 倒吊/ 倒立,UPSIDE-DOWN FACE,2015
🤑,见钱开眼,MONEY-MOUTH FACE,2015
😲,惊讶,ASTONISHED FACE,2010
☹,委屈/ 空心哭,WHITE FROWNING FACE,1995
🙁,微蹙眉,SLIGHTLY FROWNING FACE,2014
😖,怨恨/ 困惑,CONFOUNDED FACE,2010
😞,失望/ 愁眉苦脸,DISAPPOINTED FACE,2010
😟,担心/ 忧虑,WORRIED FACE,2012
😤,取胜/ 努力/ 加油,FACE WITH LOOK OF TRIUMPH,2010
😢,哭泣/ 悲伤,CRYING FACE,2010
😭,大声哭/ 流眼泪/ 凄惨,LOUDLY CRYING FACE,2010
😦,皱眉脸/ 不开心/ 目瞪口呆,FROWNING FACE WITH OPEN MOUTH,2012
😧,疼痛/ 苦逼,ANGUISHED FACE,2012
😨,恐惧/ 吓一跳/ 吓死宝宝了,FEARFUL FACE,2010
😩,哎（唉）... / 厌倦/ 疲惫,WEARY FACE,2010
😬,龇牙咧嘴/ 狰狞/ 鬼脸/ 歪扭,GRIMACING FACE,2012
😰,冒冷汗,FACE WITH OPEN MOUTH AND COLD SWEAT,2010
😱,惊慌/ 尖叫/ 恐怖,FACE SCREAMING IN FEAR,2010
😳,脸红红/ 怕羞/ 茫然,FLUSHED FACE,2010
😵,头晕目眩,DIZZY FACE,2010
😡,生气,POUTING FACE,2010
😠,愤怒/ 抓狂,ANGRY FACE,2010
😇,守护天使/ 天真,SMILING FACE WITH HALO,2010
🤠,牛仔/ 牛仔帽,FACE WITH COWBOY HAT,2016
🤡,小丑（丑）,CLOWN FACE,2016
🤥,说谎/ 讲大话/ 木偶,LYING FACE,2016
😷,生病,FACE WITH MEDICAL MASK,2010
🤒,病人/ 发烧,FACE WITH THERMOMETER,2015
🤕,绷带/ 受伤,FACE WITH HEAD-BANDAGE,2015
🤢,恶心/ 作呕,NAUSEATED FACE,2016
🤧,打喷嚏/ 打乞嗤/ 伤风感冒,SNEEZING FACE,2016
🤩,追星族〔*粉丝/ 偶像/ Fans〕,Star-Struck,2017
🤨,可疑/ 将信将疑,Face With Raised Eyebrow,2017
🤯,震撼/ 哗(Wa)...,Exploding Head,2017
🤪,疯狂/ 兴奋/ 狂野,Zany Face,2017
🤬,骂人/ 爆粗/ 脏话,Face With Symbols On Mouth,2017
🤮,呕吐,Face Vomiting,2017
🤫,安静/ 嘘(Shh)...,Shushing Face,2017
🤭,偷偷地笑〔*手捂住嘴〕,Face With Hand Over Mouth,2017
🧐,配戴单片眼镜的人,Face With Monocle,2017
🥰,恋爱/ 初恋〔*热恋中的情侣〕,smiling face with 3 hearts,2018
🥵,发热/ 好热,hot face,2018
🥶,冰冷/ 冷冻/ 寒冷,cold face,2018
🥴,头昏眼花〔*饮醉酒〕,woozy face,2018
🥳,欢乐派对,partying face,2018
🥺,拜托/ 求求你/ 无辜/ 恳请你,pleading face,2018
🥱,打呵欠/ 打喊路（露）,Yawning Face,2019
😈,魔鬼/ 恶魔,SMILING FACE WITH HORNS,2010
👿,妖怪/ 小鬼/ 犄角,IMP,2010
👹,大魔王/ 食人魔/ 怪兽,JAPANESE OGRE,2010
👺,妖精/ 怪物,JAPANESE GOBLIN,2010
💀,头骨,SKULL,2010
☠,骷髅骨,SKULL AND CROSSBONES,1995
👻,鬼魂/ 幽灵/ 飘,GHOST,2010
👽,外星人/ ET / UFO,EXTRATERRESTRIAL ALIEN,2010
👾,外星生物/ 不明物体/ 病毒,ALIEN MONSTER,2010
🤖,机器人/ 机械人,ROBOT FACE,2015
💩,屎/ 米田共/ 粪便,PILE OF POO,2010
😺,哈哈笑的猫,SMILING CAT FACE WITH OPEN MOUTH,2010
😸,笑嘻嘻的猫,GRINNING CAT FACE WITH SMILING EYES,2010
😹,喜极而泣的猫,CAT FACE WITH TEARS OF JOY,2010
😻,心花怒放的猫/ 思春期,SMILING CAT FACE WITH HEART-SHAPED EYES,2010
😼,奸笑的猫,CAT FACE WITH WRY SMILE,2010
😽,亲吻的猫,KISSING CAT FACE WITH CLOSED EYES,2010
🙀,疲累的猫,WEARY CAT FACE,2010
😿,哭泣的猫,CRYING CAT FACE,2010
😾,生气的猫,POUTING CAT FACE,2010
🙈,不能看/ 非礼勿视,SEE-NO-EVIL MONKEY,2010
🙉,不能听/ 非礼勿听,HEAR-NO-EVIL MONKEY,2010
🙊,不能说/ 非礼勿言,SPEAK-NO-EVIL MONKEY,2010
🧒,儿童/ 小孩子/ 小朋友,Child,2017
👦,男孩/ 男仔,BOY,2010
👧,女孩/ 女仔,GIRL,2010
👨,男人,MAN,2010
👩,女人,WOMAN,2010
🧑,青年/ 成年人/ 年轻人,Adult,2017
🧓,老年人,Older Adult,2017
👴,老爷爷,OLDER MAN,2010
👵,老婆婆,OLDER WOMAN,2010
🧔,胡子叔叔,Bearded Person,2017
🧙,魔法师/ 巫师,Mage,2017
🧙‍​​♂️,男巫师,Man Mage,2017
🧙‍​​♀️,女巫师,Woman Mage,2017
🧚,小仙子/ 妖精,Fairy,2017
🧚‍♀️,仙女,Woman Fairy,2017
🧚‍♂️,男仙子,Man Fairy,2017
🧛,吸血鬼,Vampire,2017
🧛‍♂️,男吸血鬼,Man Vampire,2017
🧛‍♀️,女吸血鬼,Woman Vampire,2017
🧜,人鱼,Merperson,2017
🧜‍♀️,美人鱼,Mermaid,2017
🧜‍♂️,雄人鱼,Merman,2017
🧝,精灵,Elf,2017
🧝‍♂️,男精灵,Man Elf,2017
🧝‍♀️,女精灵,Woman Elf,2017
🧞,"神灯精灵""灯神""",Genie,2017
🧞‍♂️,男神灯精灵,Man Genie,2017
🧞‍♀️,女神灯精灵,Woman Genie,2017
🧟,丧尸,Zombie,2017
🧟‍♂️,男丧尸,Man Zombie,2017
🧟‍♀️,女丧尸,Woman Zombie,2017
🧖,洗澡/ 沐浴/ 冲凉,Person in Steamy Room,2017
🧖‍♀️,女洗澡房,Woman in Steamy Room,2017
🧖‍♂️,男洗澡房,Man in Steamy Room,2017
🧗,攀岩/ 攀山,Person Climbing,2017
🧗‍♀️,攀岩女生,Woman Climbing,2017
🧗‍♂️,攀山男子,Man Climbing,2017
🧘,打坐/ 冥想/ 瑜伽/ 坐禅/ 单盘/ 双盘,Person in Lotus Position,2017
🧘‍♀️,打坐的女性,Woman in Lotus Position,2017
🧘‍♂️,打坐的男性,Man in Lotus Position,2017
👶,宝宝/ BB / 婴儿,BABY,2010
👼,宝贝天使,BABY ANGEL,2010
👱,金色头发/ 金毛,PERSON WITH BLOND HAIR,2010
👮,警察/ 警卫,POLICE OFFICER,2010
👲,中国人/ 瓜皮帽,MAN WITH GUA PI MAO,2010
👳,头巾/ 缠头巾[*男人],MAN WITH TURBAN,2010
🧕,头巾/ 缠头巾[*女人],Woman With Headscarf,2017
👷,建筑工人,CONSTRUCTION WORKER,2010
👸,公主,PRINCESS,2010
🤴,王子,PRINCE,2016
💂,侍卫/ 近卫兵/ 守卫,GUARDSMAN,2010
🕵,侦探/ 间谍,SLEUTH OR SPY,2014
🎅,圣诞老人,FATHER CHRISTMAS,2010
🤶,母亲圣诞节,MOTHER CHRISTMAS,2016
👰,新娘/ 伴娘/ 头纱/ 婚纱,BRIDE WITH VEIL,2010
🤵,新郎/ 伴郎/ 晚礼服/ 燕尾服,MAN IN TUXEDO,2016
💆,美容/ 美颜/ 瘦脸/ 按摩面部,FACE MASSAGE,2010
💇,理发/ 剪发,HAIRCUT,2010
🙍,皱着眉头的人,PERSON FROWNING,2010
🙎,撅嘴、嘟嘴的人,PERSON WITH POUTING FACE,2010
🙅,禁止、拒绝、不要的手势,FACE WITH NO GOOD GESTURE,2010
🙆,OK 手势,FACE WITH OK GESTURE,2010
💁,知客/ 接待员/ 咨询台服务员/ 柜台服务员,INFORMATION DESK PERSON,2010
🤷,耸肩,SHRUG,2016
🙋,举手/ 打招呼,HAPPY PERSON RAISING ONE HAND,2010
🤦,捂脸/ 头痛,FACE PALM,2016
🙇,鞠躬/ 道歉/ 对不起,PERSON BOWING DEEPLY,2010
🚶,走/ 行人/ 路过,PEDESTRIAN,2010
🏃,追/ 跑步/ 冲刺,RUNNER,2010
💃,女：舞蹈/ 跳舞,DANCER,2010
🕺,男：舞蹈/ 跳舞,MAN DANCING,2016
🤰,孕妇/ 怀孕/ 大肚,PREGNANT WOMAN,2016
🤱,"母乳哺育""哺乳/ 授乳""",Breast-Feeding,2017
👯,狂欢/ 跳舞兔女郎,WOMAN WITH BUNNY EARS,2010
🕴,西装革履/ 飘浮西装男,MAN IN BUSINESS SUIT LEVITATING,2014
🗣,传声头像/ 说话,SPEAKING HEAD IN SILHOUETTE,2014
👤,个人/ 用户,BUST IN SILHOUETTE,2010
👥,使用者/ 影子/ 跟踪,BUSTS IN SILHOUETTE,2010
👫,夫妇/ 姊弟/ 龙凤胎,Woman And Man Holding Hands,2010
👬,拍档/ 兄弟/ 男双胞胎,Men Holding Hands,2010
👭,牵手/ 姊妹/ 女双胞胎,Women Holding Hands,2010
🧑‍🤝‍🧑,手牵手,People Holding Hands,2019
💏,吻/ 亲亲,KISS,2010
👩‍❤️‍💋‍👨,女&爱&吻&男,"Kiss:WOMAN,MAN",2010
👨‍❤️‍💋‍👨,男&爱&吻&男,"Kiss:MAN,MAN",2010
👩‍❤️‍💋‍👩,女&爱&吻&女,"Kiss:WOMAN,WOMAN",2010
💑,浪漫/ 恩爱/ 恋爱/ Love,COUPLE WITH HEART,2010
👩‍❤️‍👨,女&爱&男〔*情侣〕,"Couple with heart:WOMAN,MAN",2010
👨‍❤️‍👨,男&爱&男〔*男同志〕,"Couple with heart:MAN,MAN",2010
👩‍❤️‍👩,女&爱&女〔*女同志〕,"Couple with heart:WOMAN,WOMAN",2010
👪,家庭/ 亲子,FAMILY,2010
👨‍👩‍👦,夫妇+儿子,"Family:MAN,WOMAN,BOY",2010
👨‍👩‍👧,夫妇+女儿,"Family:MAN,WOMAN,GIRL",2010
👨‍👩‍👧‍👦,夫妇+女+子,"Family:MAN,WOMAN,GIRL,BOY",2010
👨‍👩‍👦‍👦,夫妇+二个儿子,"Family:MAN,WOMAN,BOY,BOY",2010
👨‍👩‍👧‍👧,夫妇+二个女儿,"Family:MAN,WOMAN,GIRL,GIRL",2010
👨‍👨‍👦,三兄弟,"Family:MAN,MAN,BOY",2010
👨‍👨‍👧,三兄妹,"Family:MAN,MAN,GIRL",2010
👨‍👨‍👧‍👦,二个哥哥+二姊弟,"Family:MAN,MAN,GIRL,BOY",2010
👨‍👨‍👦‍👦,四兄弟,"Family:MAN,MAN,BOY,BOY",2010
👨‍👨‍👧‍👧,二个哥哥+二姊妹,"Family:MAN,MAN,GIRL,GIRL",2010
👩‍👩‍👦,三姊弟,"Family:WOMAN,WOMAN,BOY",2010
👩‍👩‍👧,三姊妹,"Family:WOMAN,WOMAN,GIRL",2010
👩‍👩‍👧‍👦,三个姐姐+一个弟弟,"Family:WOMAN,WOMAN,GIRL,BOY",2010
👩‍👩‍👦‍👦,二个姐姐+二个弟弟,"Family:WOMAN,WOMAN,BOY,BOY",2010
👩‍👩‍👧‍👧,四姊妹,"Family:WOMAN,WOMAN,GIRL,GIRL",2010
👨‍👦,二兄弟,"family: man, boy",2010
👨‍👦‍👦,三兄弟,"family: man, boy, boy",2010
👨‍👧,二兄妹,"family: man, girl",2010
👨‍👧‍👦,一个哥哥+二姊弟,"family: man, girl, boy",2010
👨‍👧‍👧,一个哥哥+二姊妹,"family: man, girl, girl",2010
👩‍👦,二姊弟,"family: woman, boy",2010
👩‍👦‍👦,一个姐姐+二兄弟,"family: woman, boy, boy",2010
👩‍👧,二姊妹,"family: woman, girl",2010
👩‍👧‍👦,二个姐姐+一个弟弟,"family: woman, girl, boy",2010
👩‍👧‍👧,三姊妹,"family: woman, girl, girl",2010
💪,二头肌/ 强壮/ 大只,FLEXED BICEPS,2010
🤏,短小/ 少少,Pinching Hand,2019
🤳,自拍,SELFIE,2016
👈,手指向左,WHITE LEFT POINTING BACKHAND INDEX,2010
👉,手指向右,WHITE RIGHT POINTING BACKHAND INDEX,2010
☝,1 / 第一名/ 秘密/ 朝上/ 索引/ 指数上升,WHITE UP POINTING INDEX,1995
👆,手指向上,WHITE UP POINTING BACKHAND INDEX,2010
🖕,竖中指/ 凸,REVERSED HAND WITH MIDDLE FINGER EXTENDED,2014
👇,手指向下,WHITE DOWN POINTING BACKHAND INDEX,2010
✌,Yeah / 耶/ 胜利,VICTORY HAND,1995
🤞,交叉手指/ 好运,HAND WITH INDEX AND MIDDLE FINGERS CROSSED,2016
🖖,瓦肯式敬礼- 是瓦肯人打招呼的手势。而在犹太教中有祝福的含意。,RAISED HAND WITH PART BETWEEN MIDDLE AND RING FINGERS,2014
🤘,金属礼/ 角的手势/ 绿帽子,SIGN OF THE HORNS,2015
🤙,打电话给我,CALL ME HAND,2016
🤟,我爱你手势,Love-You Gesture,2017
🤲,双手并拢手心朝上〔*顶礼/ 礼佛〕,Palms Up Together,2017
🖐,手掌〔*手指分开〕,RAISED HAND WITH FINGERS SPLAYED,2014
✋,手掌〔*手指闭合〕,RAISED HAND,2010
👌,OK / 好/ 得,OK HAND SIGN,2010
👍,Like / 赞/ 叻/ 好评,THUMBS UP SIGN,2010
👎,Dislike / 踩/ 烂/ 负评,THUMBS DOWN SIGN,2010
✊,握紧拳头,RAISED FIST,2010
👊,打/ 拳击手势,FISTED HAND SIGN,2010
🤛,左拳,LEFT-FACING FIST,2016
🤜,右拳,RIGHT-FACING FIST,2016
🤚,募集/ 反手,RAISED BACK OF HAND,2016
👋,挥手,WAVING HAND SIGN,2010
👏,拍（啪）手,CLAPPING HANDS SIGN,2010
✍,写作,WRITING HAND,1995
👐,开放/ 拥抱〔*还有我/ 我在这里〕,OPEN HANDS SIGN,2010
🙌,庆祝/ 喜悦,PERSON RAISING BOTH HANDS IN CELEBRATION,2010
🙏,求/ 祈福/ 感谢/ 击掌[*祈祷],PERSON WITH FOLDED HANDS,2010
🤝,握手,HANDSHAKE,2016
💅,美甲,NAIL POLISH,2010
👂,耳朵/ 听,EAR,2010
👃,鼻子/ 嗅,NOSE,2010
👣,脚/ 足迹,FOOTPRINTS,2010
🧠,脑袋,Brain,2017
👀,一双眼睛,EYES,2010
👁,一只眼睛,EYE,2014
👅,舌头/ 舔,TONGUE,2010
👄,口/ 嘴,MOUTH,2010
💋,唇印/ 口吻/ 嘴唇,KISS MARK,2010
🦵,腿/ 足,leg,2018
🦶,脚,foot,2018
🦷,牙齿,tooth,2018
🦴,骨头,bone,2018
💤,睡眠/ 打呼/ 呼噜,SLEEPING SYMBOL,2010
💢,生气/ 愤怒,ANGER SYMBOL,2010
👓,眼镜,EYEGLASSES,2010
🕶,墨镜/ 太阳镜/ 太阳眼镜,DARK SUNGLASSES,2014
🧣,围巾,Scarf,2017
🧤,手套,Gloves,2017
🧥,外套/ 大衣,Coat,2017
🧦,袜子,Socks,2017
🧢,棒球帽/ 鸭舌帽/ Cap帽,Billed Cap,2017
👔,领带/ 领呔/ 恤衫/ 衬衫,NECKTIE,2010
👕,T恤,T-SHIRT,2010
👖,牛仔裤/ 长裤,JEANS,2010
👗,裙子,DRESS,2010
👘,和服,KIMONO,2010
🦺,安全背心/ 反光背心/ 反光衣,Safety Vest,2019
🥻,纱丽服,Sari,2019
🩲,三角裤/ 内裤,Briefs,2019
🩳,短裤,Shorts,2019
🩱,泳衣,One-Piece Swimsuit,2019
👙,泳装,BIKINI,2010
👚,女装,WOMANS CLOTHES,2010
🥼,实验袍/ 白袍,lab coat,2018
👛,钱包,PURSE,2010
👜,手袋/ 手提包,HANDBAG,2010
👝,小袋/ 小包,POUCH,2010
🛍,购物袋,SHOPPING BAGS,2014
🎒,背包/ 背囊/ 书包,SCHOOL SATCHEL,2010
👞,皮鞋/ 男装鞋,MANS SHOE,2010
🥾,远足靴/ 登山靴/ 行山鞋,hiking boot,2018
🥿,平底鞋/ 休闲鞋/ 女装鞋,flat shoe,2018
👟,运动鞋/ 波鞋,ATHLETIC SHOE,2010
👠,高跟鞋/ 高踭鞋,HIGH-HEELED SHOE,2010
👡,凉鞋/ 拖鞋,WOMANS SANDAL,2010
🩰,芭蕾软鞋,Ballet Shoes,2019
👢,靴子,WOMANS BOOTS,2010
👑,皇冠/ 王冠,CROWN,2010
👒,女性款式的帽子,WOMANS HAT,2010
🎩,高顶礼帽/ 绅士高帽,TOP HAT,2010
